index,continent,CNT,PV1MATH,ST57Q01
"(-5.95, -4.573](-4.573, -3.196]",Asia,Israel,379.279551515,4.88
"(-5.95, -4.573](-4.573, -3.196]",Asia,Japan,483.500311538,2.0
"(-5.95, -4.573](-4.573, -3.196]",Asia,Jordan,346.81893012,3.83520599251
"(-5.95, -4.573](-4.573, -3.196]",Asia,Kazakhstan,382.3745925,7.55555555556
"(-5.95, -4.573](-4.573, -3.196]",Asia,Malaysia,387.293369927,3.74038461538
"(-5.95, -4.573](-4.573, -3.196]",Asia,Qatar,319.921995946,3.15463917526
"(-5.95, -4.573](-4.573, -3.196]",Asia,Singapore,492.007195298,6.79024390244
"(-5.95, -4.573](-4.573, -3.196]",Asia,Thailand,406.282320352,4.84307065217
"(-5.95, -4.573](-4.573, -3.196]",Asia,Vietnam,490.079858923,5.12527233115
"(-5.95, -4.573](-4.573, -3.196]",Central America,Costa Rica,375.307122869,3.02357836338
"(-5.95, -4.573](-4.573, -3.196]",Europe,Austria,401.738333333,3.2
"(-5.95, -4.573](-4.573, -3.196]",Europe,Belgium,427.633266949,4.19047619048
"(-5.95, -4.573](-4.573, -3.196]",Europe,Bulgaria,352.340182239,2.97122302158
"(-5.95, -4.573](-4.573, -3.196]",Europe,Croatia,415.29464527,4.6914893617
"(-5.95, -4.573](-4.573, -3.196]",Europe,Czech Republic,394.821547619,1.5
"(-5.95, -4.573](-4.573, -3.196]",Europe,Denmark,405.691064762,3.59375
"(-5.95, -4.573](-4.573, -3.196]",Europe,Estonia,441.531842857,4.375
"(-5.95, -4.573](-4.573, -3.196]",Europe,Finland,394.370874167,3.05479452055
"(-5.95, -4.573](-4.573, -3.196]",Europe,France,398.237311765,3.04761904762
"(-5.95, -4.573](-4.573, -3.196]",Europe,Germany,405.716692727,4.13793103448
"(-5.95, -4.573](-4.573, -3.196]",Europe,Greece,382.01665977,3.78813559322
"(-5.95, -4.573](-4.573, -3.196]",Europe,Hungary,387.469151205,3.88659793814
"(-5.95, -4.573](-4.573, -3.196]",Europe,Iceland,319.3527,
"(-5.95, -4.573](-4.573, -3.196]",Europe,Ireland,402.953983721,4.9375
"(-5.95, -4.573](-4.573, -3.196]",Europe,Italy,410.371244685,5.30967741935
"(-5.95, -4.573](-4.573, -3.196]",Europe,Latvia,424.637378947,5.2
"(-5.95, -4.573](-4.573, -3.196]",Europe,Liechtenstein,458.35018,1.66666666667
"(-5.95, -4.573](-4.573, -3.196]",Europe,Lithuania,388.934296154,4.921875
"(-5.95, -4.573](-4.573, -3.196]",Europe,Luxembourg,423.223526545,3.56684491979
"(-5.95, -4.573](-4.573, -3.196]",Europe,Montenegro,353.82664898,3.11111111111
"(-5.95, -4.573](-4.573, -3.196]",Europe,Netherlands,453.762415094,5.31818181818
"(-5.95, -4.573](-4.573, -3.196]",Europe,Norway,355.26426087,2.375
"(-5.95, -4.573](-4.573, -3.196]",Europe,Poland,445.557063462,6.66666666667
"(-5.95, -4.573](-4.573, -3.196]",Europe,Portugal,424.938558114,2.83291139241
"(-5.95, -4.573](-4.573, -3.196]",Europe,Romania,389.959381618,4.72289156627
"(-5.95, -4.573](-4.573, -3.196]",Europe,Serbia,391.591156589,4.925
"(-5.95, -4.573](-4.573, -3.196]",Europe,Slovenia,419.009417143,3.13636363636
"(-5.95, -4.573](-4.573, -3.196]",Europe,Spain,421.838084851,4.934375
"(-5.95, -4.573](-4.573, -3.196]",Europe,Sweden,377.4913,3.4375
"(-5.95, -4.573](-4.573, -3.196]",Europe,Switzerland,430.163578667,3.53125
"(-5.95, -4.573](-4.573, -3.196]",Europe,Turkey,419.771768795,4.26686884003
"(-5.95, -4.573](-4.573, -3.196]",North America,Canada,434.249582524,4.16666666667
"(-5.95, -4.573](-4.573, -3.196]",North America,Mexico,393.946485673,4.66079367693
"(-5.95, -4.573](-4.573, -3.196]",Oceania,Australia,404.777365909,3.60563380282
"(-5.95, -4.573](-4.573, -3.196]",Oceania,New Zealand,391.126813953,4.34615384615
"(-5.95, -4.573](-4.573, -3.196]",South America,Argentina,348.123616435,3.15863453815
"(-5.95, -4.573](-4.573, -3.196]",South America,Brazil,354.080459102,3.11309682582
"(-5.95, -4.573](-4.573, -3.196]",South America,Chile,372.054318949,3.08533916849
"(-5.95, -4.573](-4.573, -3.196]",South America,Colombia,351.971120486,4.47348767737
"(-5.95, -4.573](-4.573, -3.196]",South America,Peru,321.762057194,4.75297113752
"(-5.95, -4.573](-4.573, -3.196]",South America,Uruguay,366.486462385,4.27617602428
"(-5.95, -4.573](-3.196, -1.819]",Africa,Tunisia,372.950884635,3.47329773031
"(-5.95, -4.573](-3.196, -1.819]",Asia,Indonesia,369.155602679,4.86393613329
"(-5.95, -4.573](-3.196, -1.819]",Asia,Israel,410.533557895,4.33785822021
"(-5.95, -4.573](-3.196, -1.819]",Asia,Japan,503.350329717,2.94122137405
"(-5.95, -4.573](-3.196, -1.819]",Asia,Jordan,366.452653746,3.93882091212
"(-5.95, -4.573](-3.196, -1.819]",Asia,Kazakhstan,412.774489127,7.73519163763
"(-5.95, -4.573](-3.196, -1.819]",Asia,Malaysia,402.787906424,4.24898373984
"(-5.95, -4.573](-3.196, -1.819]",Asia,Qatar,333.205313503,3.55614973262
"(-5.95, -4.573](-3.196, -1.819]",Asia,Singapore,530.574843876,8.16420911528
"(-5.95, -4.573](-3.196, -1.819]",Asia,Thailand,415.686084323,5.24283765348
"(-5.95, -4.573](-3.196, -1.819]",Asia,Vietnam,502.307259432,5.58651129944
"(-5.95, -4.573](-3.196, -1.819]",Central America,Costa Rica,389.63512351,3.19241341396
"(-5.95, -4.573](-3.196, -1.819]",Europe,Austria,465.764937749,4.01526717557
"(-5.95, -4.573](-3.196, -1.819]",Europe,Belgium,477.499871441,4.46647847565
"(-5.95, -4.573](-3.196, -1.819]",Europe,Bulgaria,405.807306394,4.55853840418
"(-5.95, -4.573](-3.196, -1.819]",Europe,Croatia,448.902970389,5.20646319569
"(-5.95, -4.573](-3.196, -1.819]",Europe,Czech Republic,466.692810693,2.63961038961
"(-5.95, -4.573](-3.196, -1.819]",Europe,Denmark,440.840238919,4.37819905213
"(-5.95, -4.573](-3.196, -1.819]",Europe,Estonia,496.034123375,6.66056166056
"(-5.95, -4.573](-3.196, -1.819]",Europe,Finland,462.786058056,2.64742917104
"(-5.95, -4.573](-3.196, -1.819]",Europe,France,449.199557984,4.21759259259
"(-5.95, -4.573](-3.196, -1.819]",Europe,Germany,469.31447262,4.23323170732
"(-5.95, -4.573](-3.196, -1.819]",Europe,Greece,421.255616065,4.28772802653
"(-5.95, -4.573](-3.196, -1.819]",Europe,Hungary,448.382603363,5.29312977099
"(-5.95, -4.573](-3.196, -1.819]",Europe,Iceland,449.228441404,3.88571428571
"(-5.95, -4.573](-3.196, -1.819]",Europe,Ireland,461.627643161,6.29443838604
"(-5.95, -4.573](-3.196, -1.819]",Europe,Italy,462.528857558,7.034286548
"(-5.95, -4.573](-3.196, -1.819]",Europe,Latvia,463.739587718,5.77818181818
"(-5.95, -4.573](-3.196, -1.819]",Europe,Liechtenstein,484.508364815,2.94444444444
"(-5.95, -4.573](-3.196, -1.819]",Europe,Lithuania,445.282917764,5.99464763604
"(-5.95, -4.573](-3.196, -1.819]",Europe,Luxembourg,443.350869568,3.82876064333
"(-5.95, -4.573](-3.196, -1.819]",Europe,Montenegro,382.721634946,4.02116850127
"(-5.95, -4.573](-3.196, -1.819]",Europe,Netherlands,477.867878402,5.19133574007
"(-5.95, -4.573](-3.196, -1.819]",Europe,Norway,452.954649418,3.9689119171
"(-5.95, -4.573](-3.196, -1.819]",Europe,Poland,487.769558326,6.30385164051
"(-5.95, -4.573](-3.196, -1.819]",Europe,Portugal,457.757935745,3.31565906838
"(-5.95, -4.573](-3.196, -1.819]",Europe,Romania,421.815204659,6.4226223973
"(-5.95, -4.573](-3.196, -1.819]",Europe,Serbia,425.38554046,4.23215523216
"(-5.95, -4.573](-3.196, -1.819]",Europe,Slovenia,451.728765412,3.25057471264
"(-5.95, -4.573](-3.196, -1.819]",Europe,Spain,464.517441166,5.62284650008
"(-5.95, -4.573](-3.196, -1.819]",Europe,Sweden,442.003128224,2.95730706076
"(-5.95, -4.573](-3.196, -1.819]",Europe,Switzerland,481.760582747,3.73467284905
"(-5.95, -4.573](-3.196, -1.819]",Europe,Turkey,433.865355558,4.2472815143
"(-5.95, -4.573](-3.196, -1.819]",North America,Canada,473.869772236,3.77605692758
"(-5.95, -4.573](-3.196, -1.819]",North America,Mexico,405.751986051,5.11705088859
"(-5.95, -4.573](-3.196, -1.819]",Oceania,Australia,445.896967471,4.11486146096
"(-5.95, -4.573](-3.196, -1.819]",Oceania,New Zealand,450.489118786,3.13774834437
"(-5.95, -4.573](-3.196, -1.819]",South America,Argentina,371.013197565,3.32067281606
"(-5.95, -4.573](-3.196, -1.819]",South America,Brazil,367.756701503,3.19491933542
"(-5.95, -4.573](-3.196, -1.819]",South America,Chile,400.121659686,3.22864450128
"(-5.95, -4.573](-3.196, -1.819]",South America,Colombia,370.454284329,5.01089324619
"(-5.95, -4.573](-3.196, -1.819]",South America,Peru,350.121612241,5.26146449704
"(-5.95, -4.573](-3.196, -1.819]",South America,Uruguay,387.593941211,4.46336633663
"(-5.95, -4.573](-1.819, -0.441]",Africa,Tunisia,384.763721046,3.53228869896
"(-5.95, -4.573](-1.819, -0.441]",Asia,Indonesia,375.675600967,4.98126115407
"(-5.95, -4.573](-1.819, -0.441]",Asia,Israel,457.942186373,4.60141313383
"(-5.95, -4.573](-1.819, -0.441]",Asia,Japan,533.879036831,3.71243941842
"(-5.95, -4.573](-1.819, -0.441]",Asia,Jordan,382.554721781,4.20495185695
"(-5.95, -4.573](-1.819, -0.441]",Asia,Kazakhstan,430.609104001,8.78493723849
"(-5.95, -4.573](-1.819, -0.441]",Asia,Malaysia,420.244337405,4.74378585086
"(-5.95, -4.573](-1.819, -0.441]",Asia,Qatar,370.040517172,4.17572062084
"(-5.95, -4.573](-1.819, -0.441]",Asia,Singapore,562.733670626,9.04384069157
"(-5.95, -4.573](-1.819, -0.441]",Asia,Thailand,433.027207792,5.76400506971
"(-5.95, -4.573](-1.819, -0.441]",Asia,Vietnam,509.196781857,5.74976303318
"(-5.95, -4.573](-1.819, -0.441]",Central America,Costa Rica,403.294916914,3.36915013104
"(-5.95, -4.573](-1.819, -0.441]",Europe,Austria,498.047749625,4.39125200642
"(-5.95, -4.573](-1.819, -0.441]",Europe,Belgium,506.105475055,5.1504358655
"(-5.95, -4.573](-1.819, -0.441]",Europe,Bulgaria,431.098801368,5.25543478261
"(-5.95, -4.573](-1.819, -0.441]",Europe,Croatia,463.605143047,5.71782682513
"(-5.95, -4.573](-1.819, -0.441]",Europe,Czech Republic,509.182284896,3.06201022147
"(-5.95, -4.573](-1.819, -0.441]",Europe,Denmark,471.180606597,4.35469314079
"(-5.95, -4.573](-1.819, -0.441]",Europe,Estonia,512.834287266,6.87802907916
"(-5.95, -4.573](-1.819, -0.441]",Europe,Finland,494.796839294,2.83508508509
"(-5.95, -4.573](-1.819, -0.441]",Europe,France,491.947497536,4.96384089996
"(-5.95, -4.573](-1.819, -0.441]",Europe,Germany,503.681176691,4.61767782427
"(-5.95, -4.573](-1.819, -0.441]",Europe,Greece,440.442587556,4.81434108527
"(-5.95, -4.573](-1.819, -0.441]",Europe,Hungary,474.92361737,6.16221374046
"(-5.95, -4.573](-1.819, -0.441]",Europe,Iceland,473.163323777,3.89927404719
"(-5.95, -4.573](-1.819, -0.441]",Europe,Ireland,489.073334995,7.16237314598
"(-5.95, -4.573](-1.819, -0.441]",Europe,Italy,483.99463522,8.04838107098
"(-5.95, -4.573](-1.819, -0.441]",Europe,Latvia,490.955106942,6.37371240214
"(-5.95, -4.573](-1.819, -0.441]",Europe,Liechtenstein,528.311915789,3.07092198582
"(-5.95, -4.573](-1.819, -0.441]",Europe,Lithuania,471.66558507,6.53645224172
"(-5.95, -4.573](-1.819, -0.441]",Europe,Luxembourg,471.25330032,4.3363561418
"(-5.95, -4.573](-1.819, -0.441]",Europe,Montenegro,401.793414517,4.18769470405
"(-5.95, -4.573](-1.819, -0.441]",Europe,Netherlands,509.007944839,5.69822222222
"(-5.95, -4.573](-1.819, -0.441]",Europe,Norway,479.531779586,4.47609659931
"(-5.95, -4.573](-1.819, -0.441]",Europe,Poland,506.946237817,6.52738336714
"(-5.95, -4.573](-1.819, -0.441]",Europe,Portugal,472.308205949,3.51647612643
"(-5.95, -4.573](-1.819, -0.441]",Europe,Romania,438.864962116,6.97801442803
"(-5.95, -4.573](-1.819, -0.441]",Europe,Serbia,439.618810909,4.26684636119
"(-5.95, -4.573](-1.819, -0.441]",Europe,Slovenia,474.791999815,3.38341968912
"(-5.95, -4.573](-1.819, -0.441]",Europe,Spain,485.20835932,5.97580767481
"(-5.95, -4.573](-1.819, -0.441]",Europe,Sweden,470.095437362,3.39052725648
"(-5.95, -4.573](-1.819, -0.441]",Europe,Switzerland,509.596090063,3.98264190245
"(-5.95, -4.573](-1.819, -0.441]",Europe,Turkey,446.749267304,4.22580645161
"(-5.95, -4.573](-1.819, -0.441]",North America,Canada,496.739237162,4.37523709168
"(-5.95, -4.573](-1.819, -0.441]",North America,Mexico,414.802965016,5.30845899608
"(-5.95, -4.573](-1.819, -0.441]",Oceania,Australia,482.965386449,5.29896329504
"(-5.95, -4.573](-1.819, -0.441]",Oceania,New Zealand,494.051256524,3.98913043478
"(-5.95, -4.573](-1.819, -0.441]",South America,Argentina,389.491958017,3.59193121693
"(-5.95, -4.573](-1.819, -0.441]",South America,Brazil,379.684691004,3.37746427925
"(-5.95, -4.573](-1.819, -0.441]",South America,Chile,420.83819064,3.42038619816
"(-5.95, -4.573](-1.819, -0.441]",South America,Colombia,384.043042908,5.33404378996
"(-5.95, -4.573](-1.819, -0.441]",South America,Peru,363.494397716,5.41173120729
"(-5.95, -4.573](-1.819, -0.441]",South America,Uruguay,402.738721674,4.64066951567
"(-5.95, -4.573](-0.441, 0.936]",Africa,Tunisia,388.008896033,3.54458161866
"(-5.95, -4.573](-0.441, 0.936]",Asia,Indonesia,376.118984517,4.99201891812
"(-5.95, -4.573](-0.441, 0.936]",Asia,Israel,470.83881488,4.71854304636
"(-5.95, -4.573](-0.441, 0.936]",Asia,Japan,538.369851382,3.84481062469
