index,ST57Q01_bk,count,lower_outliers,lower_quartile,lower_whisker,median,upper_outliers,upper_quartile,upper_whisker
"(-0.441, 0.936](-0.441, 0.936]","(8, 10]",14030.0,48.0,464.5661,283.0737,524.6222,55.0,585.80775,767.5728
"(-0.441, 0.936](-0.441, 0.936]","(10, 12]",5717.0,16.0,471.5766,291.4083,531.7105,20.0,593.0129,772.0907
"(-0.441, 0.936](-0.441, 0.936]","(12, 15]",8024.0,36.0,476.85385,297.484,536.1505,31.0,596.9076,774.5054
"(-0.441, 0.936](-0.441, 0.936]","(15, 30]",11374.0,37.0,480.768,286.8905,544.8746,26.0,610.7727,804.105
"(-0.441, 0.936](0.936, 2.313]","(0, 2]",49872.0,67.0,405.289,191.7043,473.7576,30.0,547.9124,761.2634
"(-0.441, 0.936](0.936, 2.313]","(2, 4]",35912.0,69.0,432.6297,234.6238,497.9826,65.0,564.8933,762.8992
"(-0.441, 0.936](0.936, 2.313]","(4, 5]",16923.0,48.0,443.4569,259.6277,504.1362,56.0,566.3733,750.7478
"(-0.441, 0.936](0.936, 2.313]","(5, 7]",20380.0,46.0,453.563625,269.0528,514.4181,69.0,576.5773,760.874
"(-0.441, 0.936](0.936, 2.313]","(7, 8]",7289.0,19.0,461.4504,278.5558,521.2728,21.0,584.3667,768.2739
"(-0.441, 0.936](0.936, 2.313]","(8, 10]",14078.0,48.0,464.5661,283.0737,524.778,55.0,585.8467,767.5728
"(-0.441, 0.936](0.936, 2.313]","(10, 12]",5734.0,16.0,471.8881,291.4083,531.90525,20.0,593.0129,772.0907
"(-0.441, 0.936](0.936, 2.313]","(12, 15]",8048.0,36.0,476.8733,297.484,536.2284,31.0,596.9855,774.5054
"(-0.441, 0.936](0.936, 2.313]","(15, 30]",11410.0,37.0,480.8459,286.8905,544.9525,26.0,610.7727,804.105
"(-0.441, 0.936](2.313, 3.69]","(0, 2]",10903.0,4.0,445.8716,237.7395,519.0139,25.0,586.8593,795.5367
"(-0.441, 0.936](2.313, 3.69]","(2, 4]",9526.0,15.0,466.6693,275.9854,532.3337,44.0,593.850325,783.8526
"(-0.441, 0.936](2.313, 3.69]","(4, 5]",4782.0,6.0,473.348625,294.6799,531.4769,30.0,592.4677,771.078
"(-0.441, 0.936](2.313, 3.69]","(5, 7]",5917.0,7.0,482.6375,308.7786,541.5252,42.0,599.4002,772.8696
"(-0.441, 0.936](2.313, 3.69]","(7, 8]",2188.0,6.0,490.251625,318.6711,549.3145,7.0,605.8654,774.5054
"(-0.441, 0.936](2.313, 3.69]","(8, 10]",4268.0,11.0,491.6732,319.528,550.1714,33.0,607.7348,781.4379
"(-0.441, 0.936](2.313, 3.69]","(10, 12]",1724.0,0.0,495.99625,321.1637,555.89655,3.0,613.206875,783.7747
"(-0.441, 0.936](2.313, 3.69]","(12, 15]",2399.0,11.0,504.95405,343.0519,559.5965,22.0,613.22635,773.7264
"(-0.441, 0.936](2.313, 3.69]","(15, 30]",3444.0,11.0,502.1888,322.8774,561.8554,18.0,621.8336,799.1198
"(0.936, 2.313](0.936, 2.313]","(0, 2]",11009.0,4.0,445.8716,237.5058,519.0139,27.0,586.8593,795.5367
"(0.936, 2.313](0.936, 2.313]","(2, 4]",9597.0,15.0,466.6693,275.9854,532.2558,45.0,593.7919,783.8526
"(0.936, 2.313](0.936, 2.313]","(4, 5]",4825.0,7.0,473.5239,297.1725,531.4769,32.0,592.4677,770.8444
"(0.936, 2.313](0.936, 2.313]","(5, 7]",5964.0,7.0,482.540125,308.7786,541.25255,42.0,599.3223,772.8696
"(0.936, 2.313](0.936, 2.313]","(7, 8]",2200.0,6.0,490.173725,318.6711,548.6135,7.0,605.6317,774.5054
"(0.936, 2.313](0.936, 2.313]","(8, 10]",4316.0,11.0,491.6732,319.528,550.0935,34.0,607.7348,781.4379
"(0.936, 2.313](0.936, 2.313]","(10, 12]",1741.0,0.0,496.0352,321.1637,556.0134,3.0,613.1874,783.7747
"(0.936, 2.313](0.936, 2.313]","(12, 15]",2423.0,11.0,504.64245,343.0519,559.9081,22.0,613.2653,773.7264
"(0.936, 2.313](0.936, 2.313]","(15, 30]",3480.0,11.0,502.1888,322.8774,561.89435,18.0,621.8336,799.1198
"(0.936, 2.313](2.313, 3.69]","(0, 2]",106.0,0.0,424.3535,237.5058,514.9634,2.0,587.521375,754.1751
"(0.936, 2.313](2.313, 3.69]","(2, 4]",71.0,0.0,466.82505,286.0337,519.7928,1.0,587.5214,744.9836
"(0.936, 2.313](2.313, 3.69]","(4, 5]",43.0,0.0,479.2491,325.7595,536.8515,1.0,584.5225,701.2852
"(0.936, 2.313](2.313, 3.69]","(5, 7]",47.0,0.0,479.6386,377.9483,522.9086,0.0,572.83845,678.6182
"(0.936, 2.313](2.313, 3.69]","(7, 8]",12.0,0.0,432.9997,373.3525,499.54045,0.0,524.2912,609.059
"(0.936, 2.313](2.313, 3.69]","(8, 10]",48.0,0.0,488.3432,329.6542,546.97775,2.0,597.043925,758.2256
"(0.936, 2.313](2.313, 3.69]","(10, 12]",17.0,0.0,517.3002,471.8881,557.805,0.0,607.8906,719.9797
"(0.936, 2.313](2.313, 3.69]","(12, 15]",24.0,0.0,488.090025,399.8364,577.31735,0.0,632.6414,756.6677
"(0.936, 2.313](2.313, 3.69]","(15, 30]",36.0,0.0,503.8635,381.064,566.29535,0.0,601.62015,736.3374
